k, value
118,0.699541
118,0.697095
118,0.696584
118,0.698098
118,0.699668
118,0.697981
118,0.699289
118,0.699055
119,0.707829
119,0.703303
119,0.69854
119,0.70395
119,0.710071
119,0.693741
119,0.692828
119,0.704544
119,0.703249
119,0.701181
120,0.705714
120,0.700443
120,0.703232
120,0.705317
120,0.699932
120,0.700866
120,0.705997
120,0.70222
120,0.713127
120,0.698216
121,0.699447
121,0.709592
121,0.705958
121,0.702984
121,0.71315
121,0.708466
121,0.702492
121,0.709363
121,0.701599
121,0.706629
122,0.704758
122,0.711662
122,0.714292
122,0.708044
122,0.717918
122,0.709007
122,0.703072
122,0.715423
122,0.707836
122,0.708501
123,0.709559
123,0.72047
123,0.710188
123,0.714199
123,0.713806
123,0.72218
123,0.711628
123,0.719838
123,0.708779
123,0.709266
124,0.715422
124,0.712215
124,0.723967
124,0.714623
124,0.724748
124,0.710849
124,0.718165
124,0.71836
124,0.711749
124,0.709458
125,0.710798
125,0.724007
125,0.719996
125,0.717339
125,0.712808
125,0.722338
125,0.714977
125,0.72512
125,0.716449
125,0.718503
126,0.721129
126,0.717474
126,0.722921
126,0.718853
126,0.723583
126,0.71935
126,0.720719
126,0.719264
126,0.720939
126,0.724923
127,0.71999
127,0.724084
127,0.719961
127,0.719668
127,0.720583
127,0.72907
127,0.728606
127,0.716093
127,0.727502
127,0.720688
128,0.728122
128,0.725119
128,0.726291
128,0.72357
128,0.720447
128,0.716076
128,0.723469
128,0.727821
128,0.715551
128,0.728201
129,0.729475
129,0.734894
129,0.725505
129,0.727621
129,0.72289
129,0.724679
129,0.723376
129,0.723527
129,0.721902
129,0.724588
130,0.730379
130,0.72528
130,0.72565
130,0.728259
130,0.730055
130,0.727082
130,0.728219
130,0.730022
130,0.729285
130,0.729342
131,0.72941
131,0.737885
131,0.73104
131,0.73251
131,0.72957
131,0.729618
131,0.723766
131,0.735925
131,0.730288
131,0.737172
132,0.733093
132,0.730087
132,0.73408
132,0.737843
132,0.737057
132,0.732393
132,0.735879
132,0.7358
132,0.726798
132,0.741583
133,0.739434
133,0.735665
133,0.732882
133,0.737799
133,0.743009
133,0.728107
133,0.736243
133,0.744601
133,0.734729
133,0.748065
134,0.735879
134,0.736722
134,0.745828
134,0.739961
134,0.745076
134,0.741388
134,0.741317
134,0.739548
134,0.743326
134,0.736919
135,0.74108
135,0.741729
135,0.738344
135,0.733725
135,0.742468
135,0.744134
135,0.739564
135,0.750805
135,0.73608
135,0.741449
136,0.744165
136,0.742885
136,0.7433
136,0.743765
136,0.749223
136,0.738128
136,0.748982
136,0.743505
136,0.746818
136,0.749388
137,0.74641
137,0.744657
137,0.742527
137,0.740262
137,0.75056
137,0.746337
137,0.749409
137,0.746747
137,0.749505
137,0.745959
138,0.745415
138,0.752351
138,0.747611
138,0.751831
138,0.752148
138,0.748584
138,0.74632
138,0.747028
138,0.749286
138,0.74355
139,0.755597
139,0.751074
139,0.752339
139,0.75296
139,0.750792
139,0.755373
139,0.743941
139,0.752952
139,0.754329
139,0.748948
140,0.754199
140,0.753113
140,0.755689
140,0.755608
140,0.757033
140,0.759292
140,0.754171
140,0.75113
140,0.756034
140,0.748473
141,0.75657
141,0.751535
141,0.755184
141,0.754821
141,0.748928
141,0.755584
141,0.755508
141,0.760533
141,0.755937
141,0.758236
142,0.75711
142,0.756613
142,0.761825
142,0.760129
142,0.762712
142,0.762216
142,0.760229
142,0.756611
142,0.765415
142,0.760065
143,0.760345
143,0.76107
143,0.756117
143,0.754739
143,0.761088
143,0.763462
143,0.760434
143,0.759474
143,0.759432
143,0.760699
144,0.759893
144,0.76778
144,0.763506
144,0.765265
144,0.769547
144,0.761823
144,0.756718
144,0.756683
144,0.762806
144,0.760476
145,0.770053
145,0.761839
145,0.759081
145,0.75701
145,0.772325
145,0.763862
145,0.7621
145,0.763708
145,0.767667
145,0.767364
146,0.769587
146,0.764282
146,0.77127
146,0.769877
146,0.773803
146,0.77286
146,0.768222
146,0.767947
146,0.765064
146,0.767562
147,0.769227
147,0.764434
147,0.765815
147,0.767959
147,0.769372
147,0.763979
147,0.769562
147,0.768967
147,0.767968
147,0.774076
148,0.774564
148,0.766706
148,0.767786
148,0.773984
148,0.767654
148,0.769537
148,0.771143
148,0.763458
148,0.770747
148,0.770548
149,0.77119
149,0.778635
149,0.775856
149,0.775879
149,0.777097
149,0.777853
149,0.772337
149,0.767351
149,0.77241
149,0.769282
150,0.773641
150,0.774788
150,0.782484
150,0.776885
150,0.774028
150,0.782623
150,0.784031
150,0.776652
150,0.782928
150,0.769523
151,0.782021
151,0.779407
151,0.775652
151,0.778511
151,0.782838
151,0.778078
151,0.777608
151,0.779814
151,0.777585
151,0.776556
152,0.77204
152,0.776586
152,0.780803
152,0.776769
152,0.77873
152,0.789535
152,0.774119
